design_id,design_role,inside_all_idt_convex_hull,inside_exact_criterion_convex_hull,mechanism_id,temperature_K,pressure_bar,equivalence_ratio,cracking_ratio,criterion,reactor,status,ignition_delay_s,final_temperature_K,max_temperature_K,integration_steps,converged,failure_reason,runtime_s
map_0133,training,True,False,POLIMI_2023,1600,20,1.2,0.1,max_dTdt,constant_volume,completed,2.004319424407062e-05,3164.2038619407167,3164.2038619599393,2023,True,,0.19728740000209655
map_0134,training,True,False,POLIMI_2023,1600,20,1.4,0.2,max_dTdt,constant_volume,completed,8.422302881132389e-06,3128.6853709829616,3128.6853710310065,1821,True,,0.19430470000224886
map_0135,training,True,False,POLIMI_2023,1800,5,0.6,0.1,max_dTdt,constant_volume,completed,2.088933905886709e-05,2895.872427869458,2895.8724279467287,1668,True,,0.1548001999981352
map_0136,training,True,False,POLIMI_2023,1800,5,0.8,0.1,max_dTdt,constant_volume,completed,2.1679600215991553e-05,3037.953579668662,3037.9535796724276,1684,True,,0.14632329999949434
map_0137,training,True,False,POLIMI_2023,1800,5,1.0,0.1,max_dTdt,constant_volume,completed,2.2788839026138208e-05,3107.2796464243675,3107.27964647606,1634,True,,0.14818799999920884
map_0138,training,True,False,POLIMI_2023,1800,5,1.2,0.1,max_dTdt,constant_volume,completed,2.4086530849926848e-05,3119.713985985736,3154.928243547782,1817,True,,0.17736750000040047
map_0139,training,True,False,POLIMI_2023,1800,5,1.4,0.0,max_dTdt,constant_volume,completed,8.362080599805002e-05,3084.8414783646313,3163.51361245762,1923,True,,0.17962959999931627
map_0140,training,True,False,POLIMI_2023,1800,20,0.6,0.1,max_dTdt,constant_volume,completed,7.2159489764812846e-06,2968.5107495499983,2973.355285169825,1752,True,,0.16693750000194996
map_0141,training,True,False,POLIMI_2023,1800,20,1.4,0.1,max_dTdt,constant_volume,completed,7.933458578870764e-06,3212.354017738166,3221.3972468278234,1851,True,,0.15067179999823566
map_0142,training,True,False,POLIMI_2023,1600,10,1.0,0.3,max_dTdt,constant_volume,completed,6.81811006163844e-06,3121.3361766480575,3121.336176698498,1702,True,,0.18081919999895035
map_0143,training,True,False,POLIMI_2023,1200,5,1.0,0.3,max_dTdt,constant_volume,completed,0.00010852119397227405,2922.484760792158,2922.484760795094,1954,True,,0.16375719999996363
