design_id,pressure_bar,equivalence_ratio,cracking_ratio,support_tier,screening_pareto,exploratory_extrapolative_pareto,reactivity_improved
screen_0383,20,0.8,0.5,extrapolative,False,False,True
screen_0384,20,0.8,0.7,extrapolative,False,True,True
screen_0385,20,0.9,0.0,extrapolative,False,False,False
screen_0386,20,0.9,0.05,extrapolative,False,False,True
screen_0387,20,0.9,0.1,extrapolative,False,False,True
screen_0388,20,0.9,0.2,extrapolative,False,False,True
screen_0389,20,0.9,0.3,extrapolative,False,False,True
screen_0390,20,0.9,0.4,extrapolative,False,False,True
screen_0391,20,0.9,0.5,extrapolative,False,True,True
screen_0392,20,0.9,0.7,extrapolative,False,True,True
screen_0393,20,1.0,0.0,extrapolative,False,False,False
screen_0394,20,1.0,0.05,extrapolative,False,False,True
screen_0395,20,1.0,0.1,extrapolative,False,True,True
screen_0396,20,1.0,0.2,extrapolative,False,False,True
screen_0397,20,1.0,0.3,extrapolative,False,False,True
screen_0398,20,1.0,0.4,extrapolative,False,False,True
screen_0399,20,1.0,0.5,mechanism_thermo_extrapolation,False,False,True
screen_0400,20,1.0,0.7,mechanism_thermo_extrapolation,False,False,True
screen_0401,20,1.1,0.0,extrapolative,False,False,False
screen_0402,20,1.1,0.05,extrapolative,False,False,True
screen_0403,20,1.1,0.1,extrapolative,False,False,True
screen_0404,20,1.1,0.2,extrapolative,False,False,True
screen_0405,20,1.1,0.3,extrapolative,False,False,True
screen_0406,20,1.1,0.4,extrapolative,False,True,True
screen_0407,20,1.1,0.5,extrapolative,False,True,True
screen_0408,20,1.1,0.7,mechanism_thermo_extrapolation,False,False,True
screen_0409,20,1.2,0.0,extrapolative,False,False,False
screen_0410,20,1.2,0.05,extrapolative,False,False,True
screen_0411,20,1.2,0.1,extrapolative,False,False,True
screen_0412,20,1.2,0.2,extrapolative,False,False,True
screen_0413,20,1.2,0.3,extrapolative,False,False,True
screen_0414,20,1.2,0.4,extrapolative,False,False,True
screen_0415,20,1.2,0.5,extrapolative,False,False,True
screen_0416,20,1.2,0.7,extrapolative,False,True,True
screen_0417,20,1.3,0.0,extrapolative,False,False,False
screen_0418,20,1.3,0.05,extrapolative,False,False,True
screen_0419,20,1.3,0.1,extrapolative,False,False,True
screen_0420,20,1.3,0.2,extrapolative,False,False,True
screen_0421,20,1.3,0.3,extrapolative,False,False,True
screen_0422,20,1.3,0.4,extrapolative,False,False,True
screen_0423,20,1.3,0.5,extrapolative,False,False,True
screen_0424,20,1.3,0.7,extrapolative,False,True,True
screen_0425,20,1.4,0.0,extrapolative,False,False,False
screen_0426,20,1.4,0.05,extrapolative,False,False,True
screen_0427,20,1.4,0.1,extrapolative,False,False,True
screen_0428,20,1.4,0.2,extrapolative,False,False,True
screen_0429,20,1.4,0.3,extrapolative,False,False,True
screen_0430,20,1.4,0.4,extrapolative,False,False,True
screen_0431,20,1.4,0.5,extrapolative,False,False,True
screen_0432,20,1.4,0.7,extrapolative,False,False,True
